"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,59.3,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1991","1991","PC","Percentage","0","Units",,,57.1,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1992","1992","PC","Percentage","0","Units",,,56.1,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1993","1993","PC","Percentage","0","Units",,,55.7,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1994","1994","PC","Percentage","0","Units",,,56.8,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,58.2,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1996","1996","PC","Percentage","0","Units",,,58.1,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1997","1997","PC","Percentage","0","Units",,,57.9,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1998","1998","PC","Percentage","0","Units",,,58.2,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1999","1999","PC","Percentage","0","Units",,,58.5,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,59.2,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,59,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,59.3,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,59.8,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,60,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,61.2,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,61.7,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,62.3,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,62.7,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,61.8,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,62,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,62.1,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,61.8,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1994","1994","PC","Percentage","0","Units",,,57,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,57.1,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1996","1996","PC","Percentage","0","Units",,,56.2,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1997","1997","PC","Percentage","0","Units",,,56.1,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1998","1998","PC","Percentage","0","Units",,,56,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","1999","1999","PC","Percentage","0","Units",,,56.4,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,56.4,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,56.5,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,56.8,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,56.9,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,54.8,,
