"COUNTRY","Country","SEX","Sex","AGE","Age","DURATION","Duration","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","1990","1990","PC","Percentage","0","Units",,,13.6769526393128,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","1991","1991","PC","Percentage","0","Units",,,22.7171740816672,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","1992","1992","PC","Percentage","0","Units",,,19.9116283206581,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","1993","1993","PC","Percentage","0","Units",,,19.3074798322358,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","1994","1994","PC","Percentage","0","Units",,,19.5231384044106,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","1995","1995","PC","Percentage","0","Units",,,21.2650524436453,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","1996","1996","PC","Percentage","0","Units",,,21.1113926074124,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","1997","1997","PC","Percentage","0","Units",,,20.1010434425098,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","1998","1998","PC","Percentage","0","Units",,,20.1937550487903,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","1999","1999","PC","Percentage","0","Units",,,19.9565524180118,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2000","2000","PC","Percentage","0","Units",,,20.2705664114796,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2001","2001","PC","Percentage","0","Units",,,20.0648948807271,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2002","2002","PC","Percentage","0","Units",,,19.6406718157614,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2003","2003","PC","Percentage","0","Units",,,19.998058025389,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2004","2004","PC","Percentage","0","Units",,,19.225553605933,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2005","2005","PC","Percentage","0","Units",,,19.2139464397308,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2006","2006","PC","Percentage","0","Units",,,19.7590939729985,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2007","2007","PC","Percentage","0","Units",,,19.0375256135856,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2008","2008","PC","Percentage","0","Units",,,19.5861775125628,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2009","2009","PC","Percentage","0","Units",,,21.652682631602,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2010","2010","PC","Percentage","0","Units",,,20.1858377916262,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2011","2011","PC","Percentage","0","Units",,,20.4700000205683,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2012","2012","PC","Percentage","0","Units",,,20.7152887742005,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2013","2013","PC","Percentage","0","Units",,,21.023802251905,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2014","2014","PC","Percentage","0","Units",,,20.9744505042658,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2015","2015","PC","Percentage","0","Units",,,21.3896822355196,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2016","2016","PC","Percentage","0","Units",,,20.6324163392835,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2017","2017","PC","Percentage","0","Units",,,19.5786897112347,,
"AUS","Australia","MW","All persons","1524","15 to 24","UN5","1 year and over","A","Annual","2018","2018","PC","Percentage","0","Units",,,18.5965146021159,,
"AUS","Australia","MW","All persons","2554","25 to 54","UN5","1 year and over","A","Annual","1990","1990","PC","Percentage","0","Units",,,23.9321575717241,,
"AUS","Australia","MW","All persons","2554","25 to 54","UN5","1 year and over","A","Annual","1991","1991","PC","Percentage","0","Units",,,20.6149063267308,,
"AUS","Australia","MW","All persons","2554","25 to 54","UN5","1 year and over","A","Annual","1992","1992","PC","Percentage","0","Units",,,19.095249929246,,
"AUS","Australia","MW","All persons","2554","25 to 54","UN5","1 year and over","A","Annual","1993","1993","PC","Percentage","0","Units",,,17.3821239957649,,
"AUS","Australia","MW","All persons","2554","25 to 54","UN5","1 year and over","A","Annual","1994","1994","PC","Percentage","0","Units",,,16.7796616501395,,
"AUS","Australia","MW","All persons","2554","25 to 54","UN5","1 year and over","A","Annual","1995","1995","PC","Percentage","0","Units",,,16.9799694828745,,
"AUS","Australia","MW","All persons","2554","25 to 54","UN5","1 year and over","A","Annual","1996","1996","PC","Percentage","0","Units",,,18.4638776452008,,
"AUS","Australia","MW","All persons","2554","25 to 54","UN5","1 year and over","A","Annual","1997","1997","PC","Percentage","0","Units",,,18.6951327881325,,
"AUS","Australia","MW","All persons","2554","25 to 54","UN5","1 year and over","A","Annual","1998","1998","PC","Percentage","0","Units",,,18.018614710681,,
"AUS","Australia","MW","All persons","2554","25 to 54","UN5","1 year and over","A","Annual","1999","1999","PC","Percentage","0","Units",,,17.3455671875886,,
