LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1990,1990,PC,Percentage,0,Units,,,6.923,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1991,1991,PC,Percentage,0,Units,,,9.576522,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1992,1992,PC,Percentage,0,Units,,,10.72814,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1993,1993,PC,Percentage,0,Units,,,10.87467,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1994,1994,PC,Percentage,0,Units,,,9.72219,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1995,1995,PC,Percentage,0,Units,,,8.472281,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1996,1996,PC,Percentage,0,Units,,,8.506114,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1997,1997,PC,Percentage,0,Units,,,8.362488,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1998,1998,PC,Percentage,0,Units,,,7.677429,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1999,1999,PC,Percentage,0,Units,,,6.873791,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2000,2000,PC,Percentage,0,Units,,,6.285546,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2001,2001,PC,Percentage,0,Units,,,6.742173,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2002,2002,PC,Percentage,0,Units,,,6.368911,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2003,2003,PC,Percentage,0,Units,,,5.92842,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2004,2004,PC,Percentage,0,Units,,,5.396734,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2005,2005,PC,Percentage,0,Units,,,5.033881,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2006,2006,PC,Percentage,0,Units,,,4.78524,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2007,2007,PC,Percentage,0,Units,,,4.379151,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2008,2008,PC,Percentage,0,Units,,,4.23433,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2009,2009,PC,Percentage,0,Units,,,5.560385,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2010,2010,PC,Percentage,0,Units,,,5.21334,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2011,2011,PC,Percentage,0,Units,,,5.081195,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2012,2012,PC,Percentage,0,Units,,,5.223376,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2013,2013,PC,Percentage,0,Units,,,5.66194,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2014,2014,PC,Percentage,0,Units,,,6.077244,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2015,2015,PC,Percentage,0,Units,,,6.056423,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2016,2016,PC,Percentage,0,Units,,,5.710809,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2017,2017,PC,Percentage,0,Units,,,5.595881,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2018,2018,PC,Percentage,0,Units,,,5.30767,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2019,2019,PC,Percentage,0,Units,,,5.166878,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2020,2020,PC,Percentage,0,Units,,,6.463281,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2021,2021,PC,Percentage,0,Units,,,5.113585,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2022,2022,PC,Percentage,0,Units,,,3.705262,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1993,1993,PC,Percentage,0,Units,,,3.958333,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1994,1994,PC,Percentage,0,Units,,,4.241667,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1995,1995,PC,Percentage,0,Units,,,4.241667,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1996,1996,PC,Percentage,0,Units,,,4.733333,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1997,1997,PC,Percentage,0,Units,,,4.733333,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1998,1998,PC,Percentage,0,Units,,,4.725,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,1999,1999,PC,Percentage,0,Units,,,4.15,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2000,2000,PC,Percentage,0,Units,,,3.933333,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2001,2001,PC,Percentage,0,Units,,,3.983333,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2002,2002,PC,Percentage,0,Units,,,4.383333,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2003,2003,PC,Percentage,0,Units,,,4.758333,B,Break
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2004,2004,PC,Percentage,0,Units,,,5.891667,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2005,2005,PC,Percentage,0,Units,,,6.033333,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2006,2006,PC,Percentage,0,Units,,,5.641667,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2007,2007,PC,Percentage,0,Units,,,5.216667,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2008,2008,PC,Percentage,0,Units,,,4.441667,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2009,2009,PC,Percentage,0,Units,,,5.666667,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2010,2010,PC,Percentage,0,Units,,,5.191667,,
AUT,Austria,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",A,Annual,2011,2011,PC,Percentage,0,Units,,,4.9,,
